"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RL010","RL020","RL030","RL040","RL050","RL060","RX030","RX020","RX010"
"2006","DK",71,465.967431272982,"4",1953,"1","1","1","3","13","4","NA","NA","NA","NA","0","NA",7,52,52
"2006","DK",271,465.967431272982,"4",1982,"1","1","2","3","13","3","NA","NA","NA","NA","NA","0",27,23,23
"2006","DK",561,465.967431272982,"4",1925,"1","1","4","3","13","5","NA","NA","NA","0","0","0",56,80,80
"2006","DK",591,465.967431272982,"1",1925,"1","1","4","4","13","3","NA","NA","NA","NA","0","NA",59,80,80
"2006","DK",891,465.967431272982,"4",1935,"2","1","1","2","13","NA","NA","NA","NA","42","NA","0",89,70,70
"2006","DK",1061,465.967431272982,"2",1980,"2","1","1","3","13","5","NA","NA","15","45","0","NA",106,25,25
"2006","DK",1191,465.967431272982,"2",1925,"2","1","1","3","13","NA","NA","25","NA","NA","NA","NA",119,80,80
"2006","DK",1971,465.967431272982,"3",1974,"2","1","4","2","13","3","NA","NA","NA","NA","NA","NA",197,31,31
"2006","DK",2301,465.967431272982,"1",1925,"2","1","1","2","13","5","NA","NA","NA","NA","NA","NA",230,80,80
"2006","DK",2441,465.967431272982,"2",1953,"1","1","2","2","13","3","NA","NA","NA","NA","NA","0",244,52,53
"2006","DK",2631,465.967431272982,"2",1940,"2","1","4","3","13","3","NA","NA","NA","NA","NA","NA",263,65,66
"2006","DK",2711,465.967431272982,"4",1951,"2","1","3","3","13","3","NA","NA","NA","NA","NA","NA",271,54,55
"2006","DK",2961,465.967431272982,"4",1930,"2","1","4","2","13","5","NA","NA","NA","0","NA","NA",296,75,76
"2006","DK",3011,465.967431272982,"3",1956,"1","1","4","4","13","3","NA","NA","35","NA","NA","0",301,49,50
"2006","DK",3061,465.967431272982,"2",1976,"2","1","1","3","13","NA","NA","NA","0","NA","0","NA",306,29,30
"2006","DK",3071,465.967431272982,"3",1965,"1","1","4","3","13","NA","NA","NA","NA","NA","NA","NA",307,40,40
