"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RL010","RL020","RL030","RL040","RL050","RL060","RX010","RX020","RX030","RX040","RX050","RX060","RX070"
"2012","DK",841,553.155080213904,"2",1975,"2","1","1","3","13","3","0","NA","NA","NA","NA","NA",37,36,84,"1","0","0","0"
"2012","DK",1061,553.155080213904,"3",1932,"2","1","3","3","13","4","NA","NA","NA","NA","NA","NA",80,79,106,"99","2","0","0"
"2012","DK",1411,553.155080213904,"1",1980,"1","1","3","2","13","5","NA","NA","NA","NA","NA","NA",31,31,141,"99","0","0","0"
"2012","DK",1641,553.155080213904,"2",1949,"2","1","1","2","13","5","NA","NA","NA","NA","NA","NA",62,62,164,"1","0","0","100"
"2012","DK",1671,553.155080213904,"2",1965,"2","1","4","3","13","4","NA","NA","NA","NA","NA","0",47,46,167,"99","0","0","0"
"2012","DK",1891,553.155080213904,"3",1931,"2","1","3","2","13","NA","NA","NA","NA","NA","NA","NA",80,80,189,"99","0","0","0"
"2012","DK",2111,553.155080213904,"2",1964,"1","1","3","2","13","5","NA","25","0","NA","NA","NA",48,47,211,"99","0","0","0"
"2012","DK",2431,553.155080213904,"3",1979,"1","1","3","2","13","5","NA","25","NA","NA","NA","NA",32,32,243,"99","0","0","0"
"2012","DK",2471,553.155080213904,"3",1990,"1","1","4","2","13","5","NA","NA","NA","NA","NA","NA",21,21,247,"0.9571428571","2","0","0"
"2012","DK",2521,553.155080213904,"4",1944,"2","1","4","2","13","3","NA","25","NA","NA","NA","0",68,67,252,"99","1","0","0"
"2012","DK",2551,553.155080213904,"4",1945,"2","1","1","2","13","4","NA","NA","NA","NA","NA","NA",66,66,255,"0.8571428571","2","0","0"
"2012","DK",2561,553.155080213904,"2",1990,"1","1","4","2","13","4","NA","25","NA","NA","NA","NA",21,21,256,"99","1","0","0"
"2012","DK",2881,553.155080213904,"2",1931,"2","1","1","2","13","4","NA","NA","NA","0","NA","NA",80,80,288,"99","0","0","0"
"2012","DK",3011,553.155080213904,"4",1931,"2","1","3","2","13","3","NA","NA","NA","0","NA","0",80,80,301,"1","0","0","0"
"2012","DK",3091,553.155080213904,"3",1945,"1","1","1","2","13","4","NA","NA","NA","NA","NA","NA",67,66,309,"0.6666666667","0","0","0"
"2012","DK",3311,553.155080213904,"4",1991,"2","1","1","2","13","3","NA","NA","NA","NA","NA","0",21,20,331,"0.5821428571","2","0","0"
"2012","DK",3511,553.155080213904,"3",1949,"2","1","4","4","NA","5","NA","NA","NA","0","NA","NA",63,62,351,"99","2","0","0"
"2012","DK",3761,553.155080213904,"3",1941,"2","1","3","2","13","NA","NA","NA","NA","NA","NA","NA",70,70,376,"0.3888888889","0","0","0"
"2012","DK",4461,553.155080213904,"4",1984,"2","1","1","4","NA","5","NA","29","NA","NA","NA","NA",27,27,446,"99","2","0","0"
"2012","DK",4581,553.155080213904,"1",1947,"1","1","2","2","NA","NA","NA","NA","NA","0","NA","NA",64,64,458,"1","2","0","0"
"2012","DK",4621,553.155080213904,"3",1948,"1","1","4","2","13","5","NA","NA","NA","NA","NA","NA",64,63,462,"99","0","0","0"
"2012","DK",4861,553.155080213904,"4",1944,"2","1","1","3","NA","4","NA","NA","NA","NA","NA","0",67,67,486,"0.0833333333","0","0","0"
"2012","DK",5561,553.155080213904,"1",1941,"2","1","3","4","13","3","NA","NA","NA","NA","0","0",71,70,556,"0.25","0","0","0"
"2012","DK",5761,553.155080213904,"4",1975,"2","1","4","2","13","5","NA","NA","NA","NA","NA","NA",36,36,576,"0.9285714286","0","0","0"
"2012","DK",5911,553.155080213904,"3",1977,"1","1","4","2","13","5","NA","NA","NA","NA","NA","NA",34,34,591,"0.8571428571","0","0","0"
"2012","DK",5951,553.155080213904,"4",1963,"2","1","3","2","13","NA","NA","NA","NA","NA","0","NA",48,48,595,"1","2","0","0"
"2012","DK",6081,553.155080213904,"1",1931,"2","1","4","2","13","4","NA","NA","NA","0","NA","NA",80,80,608,"1","2","0","0"
"2012","DK",6261,553.155080213904,"1",1938,"2","1","3","4","13","4","NA","27","NA","NA","0","NA",73,73,626,"0.6666666667","1","0","0"
"2012","DK",6331,553.155080213904,"3",1931,"2","1","3","4","13","3","NA","NA","NA","NA","0","NA",80,80,633,"1","2","0","0"
"2012","DK",7111,553.155080213904,"4",1976,"1","1","1","2","NA","NA","NA","NA","NA","NA","NA","0",35,35,711,"1","0","1","0"
"2012","DK",7291,553.155080213904,"4",1938,"2","1","1","2","13","5","NA","NA","NA","0","NA","NA",73,73,729,"0.9285714286","0","0","0"
"2012","DK",7641,553.155080213904,"2",1980,"1","1","1","2","13","NA","NA","26","NA","0","NA","NA",31,31,764,"0.9571428571","2","0","0"
"2012","DK",8441,553.155080213904,"3",1960,"1","1","2","2","13","3","NA","NA","NA","NA","NA","NA",51,51,844,"99","0","0","0"
"2012","DK",8791,553.155080213904,"1",1988,"2","1","1","3","13","5","NA","NA","NA","0","NA","NA",23,23,879,"0","2","0","0"
"2012","DK",8811,553.155080213904,"3",1974,"2","1","4","2","13","3","NA","NA","NA","NA","0","NA",37,37,881,"0","0","0","0"
"2012","DK",8831,553.155080213904,"4",1977,"1","1","4","2","13","4","NA","NA","NA","0","0","NA",34,34,883,"1","0","0","0"
"2012","DK",8871,553.155080213904,"4",1989,"2","1","1","4","13","4","NA","NA","NA","NA","NA","NA",22,22,887,"99","0","0","0"
"2012","DK",8911,553.155080213904,"4",1948,"2","1","3","3","NA","NA","NA","NA","NA","NA","0","NA",63,63,891,"0.5","1","0","0"
"2012","DK",9471,553.155080213904,"4",1954,"2","1","4","3","13","5","NA","NA","NA","0","NA","NA",58,57,947,"99","2","0","0"
"2012","DK",9571,553.155080213904,"4",1963,"1","1","4","4","13","4","NA","NA","NA","NA","NA","NA",49,48,957,"1","2","0","0"
"2012","DK",9851,553.155080213904,"1",1931,"2","1","3","2","13","NA","NA","NA","NA","NA","NA","NA",80,80,985,"0.8333333333","0","0","0"
"2012","DK",10281,553.155080213904,"2",1957,"1","1","1","2","NA","5","NA","NA","NA","NA","NA","0",55,54,1028,"1","0","0","0"
"2012","DK",10691,553.155080213904,"2",1966,"2","1","1","3","13","5","NA","42","0","NA","NA","NA",46,45,1069,"99","2","0","0"
"2012","DK",11401,553.155080213904,"2",1943,"1","1","2","2","NA","4","NA","NA","3","NA","NA","NA",68,68,1140,"0.746031746","0","0","0"
"2012","DK",11831,553.155080213904,"4",1932,"2","1","4","4","NA","5","NA","NA","NA","NA","NA","NA",79,79,1183,"1","2","0","0"
"2012","DK",12241,553.155080213904,"4",1952,"1","1","4","2","13","3","NA","NA","NA","NA","NA","0",60,59,1224,"99","2","0","0"
"2012","DK",12331,553.155080213904,"1",1976,"1","1","1","3","NA","5","NA","NA","NA","NA","0","0",36,35,1233,"0.5","0","0","1"
"2012","DK",13411,553.155080213904,"4",1978,"2","1","4","3","13","NA","NA","NA","NA","NA","NA","NA",33,33,1341,"1","2","0","0"
"2012","DK",13511,553.155080213904,"1",1946,"2","1","3","2","13","NA","NA","NA","NA","NA","NA","NA",65,65,1351,"99","0","0","0"
"2012","DK",13871,553.155080213904,"4",1931,"2","1","4","3","13","NA","NA","NA","NA","NA","NA","NA",80,80,1387,"99","0","0","0"
"2012","DK",13901,553.155080213904,"3",1982,"1","1","4","4","NA","NA","NA","NA","NA","NA","0","0",29,29,1390,"99","2","0","0"
"2012","DK",13971,553.155080213904,"2",1964,"1","1","3","3","13","3","NA","NA","NA","NA","NA","NA",47,47,1397,"0.8428571429","1","0","0"
"2012","DK",14071,553.155080213904,"1",1985,"2","1","1","2","13","4","NA","NA","NA","NA","NA","0",27,26,1407,"1","2","0","0"
"2012","DK",14351,553.155080213904,"3",1931,"2","1","1","2","NA","4","NA","NA","NA","NA","NA","NA",80,80,1435,"1","2","0","0"
"2012","DK",14441,553.155080213904,"2",1931,"2","1","1","2","13","5","NA","NA","0","NA","NA","0",80,80,1444,"1","0","0","0"
"2012","DK",14611,553.155080213904,"2",1964,"1","1","3","2","NA","3","NA","NA","NA","NA","NA","0",47,47,1461,"1","0","0","0"
"2012","DK",15271,553.155080213904,"4",1931,"1","1","1","2","13","NA","NA","NA","NA","NA","NA","NA",80,80,1527,"1","2","0","0"
"2012","DK",15761,553.155080213904,"2",1943,"1","1","4","3","13","5","NA","NA","NA","0","NA","NA",69,68,1576,"99","0","0","0"
"2012","DK",16081,553.155080213904,"4",1960,"1","1","1","3","NA","5","NA","NA","NA","NA","0","NA",52,51,1608,"0.3857142857","0","0","0"
"2012","DK",16111,553.155080213904,"4",1990,"1","1","1","2","13","3","NA","NA","NA","NA","NA","NA",21,21,1611,"99","2","0","0"
"2012","DK",16251,553.155080213904,"3",1977,"2","1","1","4","13","NA","NA","NA","NA","NA","NA","NA",35,34,1625,"0.5142857143","0","0","0"
"2012","DK",16311,553.155080213904,"3",1982,"1","1","1","3","13","4","NA","25","NA","NA","NA","NA",29,29,1631,"0.9285714286","0","0","0"
"2012","DK",16431,553.155080213904,"1",1931,"1","1","4","2","NA","4","NA","NA","NA","NA","NA","NA",80,80,1643,"99","2","0","0"
"2012","DK",16451,553.155080213904,"4",1952,"2","1","1","2","13","4","NA","NA","NA","NA","0","NA",60,59,1645,"99","0","0","0"
"2012","DK",17261,553.155080213904,"2",1981,"1","1","1","2","13","5","NA","NA","NA","NA","NA","NA",30,30,1726,"1","0","0","10"
"2012","DK",17541,553.155080213904,"4",1933,"1","1","1","4","13","5","NA","27","NA","NA","NA","NA",78,78,1754,"1","1","0","0"
"2012","DK",17601,553.155080213904,"1",1935,"1","1","4","2","13","4","NA","26","NA","NA","NA","NA",76,76,1760,"0.8428571429","0","0","100"
"2012","DK",17711,553.155080213904,"1",1983,"2","1","3","4","13","4","NA","NA","0","NA","0","NA",28,28,1771,"99","0","0","101"
"2012","DK",17991,553.155080213904,"3",1957,"1","1","1","2","13","3","NA","NA","NA","NA","NA","NA",54,54,1799,"99","0","0","0"
"2012","DK",18361,553.155080213904,"4",1974,"2","1","4","2","13","4","NA","NA","NA","NA","NA","0",38,37,1836,"1","0","0","0"
"2012","DK",19911,553.155080213904,"4",1938,"2","1","4","2","13","NA","NA","NA","NA","0","NA","0",73,73,1991,"0.746031746","2","0","0"
"2012","DK",20281,553.155080213904,"3",1948,"1","1","1","2","13","5","NA","NA","NA","NA","NA","0",63,63,2028,"0.5833333333","0","0","0"
"2012","DK",20761,553.155080213904,"3",1936,"1","1","1","4","13","5","NA","NA","NA","NA","NA","NA",75,75,2076,"0","0","0","0"
"2012","DK",20831,553.155080213904,"2",1969,"1","1","4","2","13","5","NA","NA","NA","NA","0","NA",42,42,2083,"0.865484312","0","0","0"
"2012","DK",20961,553.155080213904,"2",1931,"2","1","4","3","13","5","NA","NA","NA","NA","NA","NA",80,80,2096,"1","2","0","0"
"2012","DK",21221,553.155080213904,"3",1987,"1","1","4","2","13","5","NA","27","NA","NA","NA","NA",24,24,2122,"0.7916666667","0","0","0"
"2012","DK",21391,553.155080213904,"1",1987,"2","1","4","3","13","3","NA","NA","NA","NA","0","NA",24,24,2139,"1","0","0","0"
"2012","DK",22341,553.155080213904,"2",1931,"2","1","3","2","13","4","NA","NA","NA","NA","NA","NA",80,80,2234,"0.9142857143","1","0","100"
