"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL030","PL035","PL015","PL020","PL025","PL040","PL050","PL060","PL070","PL072","PL100","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PL210A","PL210B","PL210C","PL210D","PL210E","PL210F","PL210G","PL210H","PL210I","PL210J","PL210K","PL210L","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY070N","PY010G","PY020G","PY035G","PY050G","PY070G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PS005","PS010","PS020","PS030","PS040","PS050","PS060","PS070","PS080","PS090","PS100","PS110","PS120","PS130","PS140","PS150","PS160","PX030","PX040","PX020","PX050","PX010","PL110"
"2006","DK",71,465.967431272982,"NA","2","2006","NA","3",1953,"1","2","2","DK","2","NA","3","1","NA","NA","NA","NA","3","8","37","12","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","3","NA","NA","2","NA",1,1,1,219458,0,0,0,0,,0,0,0,0,0,0,1,"452.445","2","2","2","1","3","NA","1","2","1","6","NA","NA","2","NA","NA","2",7,"3",52,"3","7.4518","NA"
"2006","DK",271,465.967431272982,"527.6469","2","2006","NA","4",1982,"1","1","3","DK","2","NA","3","1","NA","NA","NA","NA","3","7","32","12","0","NA","NA","NA","1","2","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","2","NA",1,1,1,35504,0,0,0,0,,0,0,0,0,0,0,1,"0","4","3","2","1","NA","2","NA","2","1","6","2","1","2","NA","NA","2",27,"2",23,"1","7.4518","b-e"
"2006","DK",561,465.967431272982,"790.0384","2","2006","NA","1",1925,"1","1","3","DK","1","NA","NA","5","NA","NA","NA","NA","3","3","25","4","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","3","NA","NA","2","NA",1,1,1,0,0,0,50,0,,0,26040,0,0,0,0,1,"452.445","3","NA","NA","1","2","1","NA","3","2","6","2","NA","NA","NA","NA","NA",56,"3",80,"1","7.4518","NA"
"2006","DK",591,465.967431272982,"434.7834","2","2006","NA","4",1925,"1","2","3","DK","1","NA","5","5","NA","NA","NA","NA","NA","3","NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","2","3","NA","NA","2","NA",1,1,1,0,0,0,0,0,,22746,0,0,0,0,0,1,"452.445","2","2","1","NA","2","5","5","1","NA","6","NA","2","1","NA","NA","2",59,"3",80,"1","7.4518","NA"
"2006","DK",891,465.967431272982,"773.5765","2","2006","NA","1",1935,"2","4","1","DK","2","NA","2","6","NA","2","NA","NA","NA","5","20","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA",1,1,1,14967,0,0,0,0,,0,0,0,0,0,0,1,"452.445","3","NA","NA","1","3","NA","2","4","2","6","2","2","NA","2","NA","2",89,"3",70,"1","7.4518","NA"
"2006","DK",1061,465.967431272982,"503.0101","2","2006","NA","1",1980,"2","1","1","DK","2","NA","2","4","NA","2","NA","NA","NA",,"NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","3","2","NA","2","NA",1,1,1,5364,0,0,2425,0,,50,0,0,0,0,6795,1,"452.445","1","2","NA","1","2","NA","1","1","1","6","2","2","2","2","NA","NA",106,"2",25,"1","7.4518","NA"
"2006","DK",1191,465.967431272982,"NA","2","2006","NA","1",1925,"2","2","3","DK","2","NA","2","5","NA","NA","NA","NA","NA","5","20","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","NA","2","NA","NA","NA",1,1,1,0,0,0,0,0,,0,15362,0,0,0,0,1,"452.445","NA","2","3","NA","2","4","NA","NA","NA","6","2","2","2","NA","2","2",119,"2",80,"4","7.4518","NA"
"2006","DK",1971,465.967431272982,"1042.997","2","2006","NA","1",1974,"2","1","3","DK","1","NA","3","4","NA","NA","NA","NA","NA","4","NA","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","2","NA","1","NA",1,1,1,0,0,0,0,0,,0,0,0,0,0,0,1,"0","NA","1","NA","4","4","3","2","5","1","NA","NA","2","2","1","2","2",197,"3",31,"1","7.4518","NA"
"2006","DK",2301,465.967431272982,"1031.998","2","2006","NA","2",1925,"2","4","3","DK","2","3","3","5","NA","NA","NA","NA","3","5","NA","0","0","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","2","NA","2","NA",1,1,1,0,0,0,0,0,,0,17044,0,0,0,0,1,"452.445","1","3","1","1","4","NA","4","5","1","6","2","NA","2","2","2","2",230,"2",80,"3","7.4518","NA"
"2006","DK",2441,465.967431272982,"1505.253","NA","2006","NA","2",1953,"1","5","3","DK","2","NA","5","1","NA","NA","NA","NA","3","2","37","12","0","NA","NA","13","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","NA","6",1,1,1,93633,0,0,0,0,,0,0,0,0,0,0,1,"452.445","3","3","NA","NA","2","2","NA","NA","1","NA","2","2","NA","NA","2","2",244,"2",52,"1","7.4518","o"
