"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RL010","RL020","RL030","RL040","RL050","RL060","RX030","RX020","RX050","RX040","RX060","RX070","RX010"
"2010","DK",851,511.860036832413,"1",1988,"2","1","1","2","13","5","NA","NA","NA","NA","NA","NA",85,21,"2","1","0","0",22
"2010","DK",1071,511.860036832413,"2",1931,"2","1","3","3","13","3","NA","NA","NA","NA","0","NA",107,78,"1","99","0","0",78
"2010","DK",1421,511.860036832413,"1",1979,"1","1","3","3","13","5","NA","NA","NA","NA","NA","NA",142,30,"0","0.9285714286","0","101",31
"2010","DK",1651,511.860036832413,"4",1939,"2","1","1","3","13","5","NA","NA","NA","NA","NA","NA",165,70,"0","99","0","0",71
"2010","DK",1691,511.860036832413,"4",1967,"2","1","3","3","13","NA","NA","NA","NA","NA","NA","NA",169,42,"0","99","0","1",43
"2010","DK",1901,511.860036832413,"3",1971,"1","1","1","2","13","3","NA","NA","NA","NA","NA","0",190,38,"0","0","0","0",39
"2010","DK",2121,511.860036832413,"3",1954,"2","1","1","2","13","3","NA","NA","NA","NA","NA","NA",212,55,"0","1","0","0",56
"2010","DK",2451,511.860036832413,"3",1952,"2","1","4","2","13","5","NA","27","NA","NA","0","NA",245,57,"2","1","0","101",57
"2010","DK",2491,511.860036832413,"3",1949,"2","1","4","4","13","5","NA","NA","NA","NA","NA","NA",249,60,"0","0.75","0","0",61
"2010","DK",2501,511.860036832413,"1",1954,"2","1","3","3","NA","5","NA","NA","NA","NA","NA","NA",250,55,"0","1","0","0",56
"2010","DK",2541,511.860036832413,"1",1948,"2","1","4","4","13","5","0","NA","NA","NA","NA","NA",254,61,"2","99","0","0",61
"2010","DK",2571,511.860036832413,"3",1959,"2","1","3","2","NA","5","NA","NA","NA","NA","NA","NA",257,50,"0","99","0","110",50
"2010","DK",2581,511.860036832413,"3",1981,"1","1","4","2","13","5","NA","NA","NA","NA","NA","NA",258,28,"0","1","0","0",29
"2010","DK",2901,511.860036832413,"4",1981,"2","1","3","3","NA","3","NA","NA","NA","NA","NA","0",290,28,"0","99","0","0",28
"2010","DK",3031,511.860036832413,"3",1956,"1","1","4","2","13","5","NA","30","NA","37","NA","NA",303,53,"2","1","1","100",54
"2010","DK",3111,511.860036832413,"4",1944,"2","1","1","2","13","5","NA","NA","NA","NA","0","NA",311,65,"0","0.8571428571","0","100",66
"2010","DK",3341,511.860036832413,"2",1931,"2","1","3","3","13","3","NA","NA","NA","NA","NA","NA",334,78,"2","99","0","100",78
"2010","DK",3541,511.860036832413,"3",1944,"1","1","4","4","13","4","NA","NA","NA","40","NA","NA",354,65,"2","99","0","0",65
"2010","DK",3781,511.860036832413,"1",1975,"2","1","1","2","NA","5","NA","NA","NA","40","0","NA",378,34,"2","1","0","0",34
"2010","DK",4291,511.860036832413,"1",1970,"1","1","1","4","NA","3","NA","NA","NA","40","NA","NA",429,39,"2","1","0","0",40
"2010","DK",4491,511.860036832413,"4",1929,"2","1","1","3","NA","4","NA","NA","NA","NA","NA","NA",449,80,"2","1","0","0",80
"2010","DK",4621,511.860036832413,"1",1931,"2","1","1","2","NA","NA","NA","NA","NA","NA","NA","NA",462,78,"2","99","0","0",78
"2010","DK",4651,511.860036832413,"1",1932,"2","1","3","4","13","3","0","NA","NA","0","NA","0",465,77,"0","99","0","0",78
"2010","DK",4901,511.860036832413,"2",1965,"2","1","4","3","13","3","NA","NA","20","NA","NA","NA",490,44,"0","99","0","0",45
"2010","DK",5601,511.860036832413,"3",1986,"2","1","1","2","13","NA","NA","NA","NA","NA","NA","NA",560,23,"0","0.846529081","0","0",23
"2010","DK",5801,511.860036832413,"2",1984,"1","1","1","2","13","5","NA","NA","NA","NA","NA","NA",580,25,"0","1","0","0",25
"2010","DK",5961,511.860036832413,"4",1970,"2","1","4","2","13","3","NA","NA","NA","NA","NA","NA",596,39,"2","1","0","0",40
"2010","DK",6001,511.860036832413,"2",1952,"2","1","1","3","13","5","NA","NA","NA","NA","NA","NA",600,57,"0","1","0","0",58
"2010","DK",6131,511.860036832413,"1",1971,"1","1","1","2","13","5","NA","NA","NA","NA","NA","NA",613,38,"0","99","0","0",38
"2010","DK",6311,511.860036832413,"3",1989,"2","1","1","2","13","5","NA","NA","NA","NA","0","NA",631,20,"2","0.5","0","0",20
"2010","DK",6381,511.860036832413,"1",1958,"2","1","3","4","13","3","NA","NA","NA","30","NA","NA",638,51,"1","99","0","110",52
"2010","DK",7171,511.860036832413,"2",1937,"2","1","1","4","13","3","NA","NA","NA","NA","NA","NA",717,72,"1","99","0","0",72
"2010","DK",7351,511.860036832413,"3",1962,"1","1","3","4","13","NA","NA","NA","1","NA","NA","NA",735,47,"0","0.5","0","0",47
"2010","DK",7701,511.860036832413,"3",1929,"1","1","3","2","13","5","NA","NA","NA","NA","NA","NA",770,80,"0","1","1","0",80
"2010","DK",8511,511.860036832413,"3",1931,"2","1","1","4","13","NA","NA","NA","NA","NA","NA","NA",851,78,"0","0.2083333333","0","0",78
"2010","DK",8861,511.860036832413,"4",1972,"1","1","4","4","13","5","NA","22","25","0","NA","NA",886,37,"2","1","0","100",37
"2010","DK",8881,511.860036832413,"2",1929,"2","1","2","3","13","3","NA","NA","NA","NA","NA","NA",888,80,"1","99","0","100",80
"2010","DK",8901,511.860036832413,"2",1961,"1","1","4","3","NA","3","NA","NA","NA","NA","NA","NA",890,48,"0","1","0","0",48
"2010","DK",8941,511.860036832413,"1",1980,"1","1","3","2","13","NA","NA","NA","NA","0","NA","NA",894,29,"2","1","0","0",30
"2010","DK",8981,511.860036832413,"1",1967,"1","1","1","2","13","5","NA","NA","NA","NA","NA","NA",898,42,"2","0.9285714286","0","101",42
"2010","DK",9541,511.860036832413,"1",1978,"1","1","4","4","13","5","NA","NA","NA","NA","NA","NA",954,31,"0","99","0","0",32
"2010","DK",9641,511.860036832413,"4",1959,"2","1","1","2","NA","3","NA","NA","NA","NA","NA","NA",964,50,"2","1","0","0",50
"2010","DK",9931,511.860036832413,"1",1957,"1","1","1","2","13","5","NA","NA","NA","NA","NA","NA",993,52,"0","99","0","0",52
"2010","DK",10361,511.860036832413,"3",1947,"2","1","3","4","NA","5","NA","NA","NA","NA","NA","NA",1036,62,"2","0.8","0","0",62
"2010","DK",10771,511.860036832413,"4",1966,"1","1","1","4","13","NA","NA","NA","NA","NA","0","NA",1077,43,"1","1","0","100",43
"2010","DK",11181,511.860036832413,"2",1948,"1","1","3","3","13","3","37","NA","NA","NA","0","NA",1118,61,"0","99","0","0",61
"2010","DK",11491,511.860036832413,"2",1950,"1","1","1","4","13","3","0","NA","NA","NA","NA","NA",1149,59,"1","0.4065026437","0","0",59
"2010","DK",11921,511.860036832413,"1",1970,"1","1","1","3","13","NA","NA","NA","NA","NA","0","NA",1192,39,"0","0","0","0",39
"2010","DK",12331,511.860036832413,"1",1939,"2","1","1","2","13","3","NA","NA","NA","NA","NA","0",1233,70,"1","1","0","10",70
"2010","DK",12421,511.860036832413,"4",1969,"2","1","1","2","13","NA","NA","NA","10","NA","NA","NA",1242,40,"0","1","0","0",40
"2010","DK",12431,511.860036832413,"1",1944,"2","1","1","2","NA","3","NA","NA","NA","NA","NA","NA",1243,65,"0","99","0","1",65
"2010","DK",13521,511.860036832413,"4",1929,"2","1","1","3","NA","3","NA","NA","NA","NA","NA","0",1352,80,"0","1","0","0",80
"2010","DK",13621,511.860036832413,"1",1933,"2","1","3","2","13","NA","NA","NA","NA","NA","NA","NA",1362,76,"0","99","0","1",76
"2010","DK",13981,511.860036832413,"1",1950,"2","1","1","2","13","NA","NA","NA","NA","NA","NA","NA",1398,59,"0","1","0","101",59
"2010","DK",14011,511.860036832413,"1",1947,"2","1","1","3","13","3","NA","NA","NA","NA","0","0",1401,62,"0","0.6666666667","0","0",63
"2010","DK",14081,511.860036832413,"3",1965,"2","1","1","2","13","5","NA","25","NA","NA","NA","NA",1408,44,"2","1","0","0",44
"2010","DK",14181,511.860036832413,"2",1984,"1","1","4","4","13","NA","NA","NA","NA","NA","NA","NA",1418,25,"0","0.8571428571","0","100",25
"2010","DK",14461,511.860036832413,"1",1929,"2","1","3","2","13","5","NA","NA","NA","NA","NA","NA",1446,80,"0","1","0","0",80
"2010","DK",14551,511.860036832413,"4",1945,"1","1","1","4","13","NA","NA","NA","0","NA","NA","NA",1455,64,"2","99","0","0",64
"2010","DK",14731,511.860036832413,"4",1975,"2","1","4","3","13","5","NA","25","NA","NA","NA","NA",1473,34,"0","99","0","11",35
"2010","DK",15391,511.860036832413,"4",1938,"2","1","1","2","13","3","NA","NA","NA","NA","NA","0",1539,71,"2","1","0","0",71
