"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RL010","RL020","RL030","RL040","RL050","RL060","RX030","RX020","RX010"
"2006","AT",61,484.955752212389,"4",1968,"1","1","1","1","11","NA","NA","NA","NA","NA","0","NA",6,37,37
"2006","AT",101,484.955752212389,"3",1925,"1","1","1","1","NA","2","NA","25","NA","NA","NA","NA",10,80,80
"2006","AT",311,484.955752212389,"3",1936,"2","1","1","1","NA","NA","NA","NA","NA","NA","0","0",31,69,70
"2006","AT",551,484.955752212389,"4",1939,"2","1","1","4","NA","2","NA","NA","NA","NA","NA","NA",55,66,67
"2006","AT",601,484.955752212389,"3",1965,"1","1","4","4","11","2","35","32","NA","NA","NA","NA",60,40,41
"2006","AT",821,484.955752212389,"1",1961,"2","1","1","1","11","2","NA","NA","NA","0","NA","NA",82,44,45
"2006","AT",1081,484.955752212389,"2",1961,"2","1","1","1","11","NA","NA","NA","NA","NA","0","0",108,44,44
"2006","AT",1341,484.955752212389,"1",1941,"2","1","1","4","11","2","NA","NA","NA","NA","NA","NA",134,64,65
"2006","AT",1411,484.955752212389,"3",1950,"2","1","4","4","11","2","NA","NA","NA","NA","NA","NA",141,55,56
"2006","AT",1561,484.955752212389,"3",1926,"2","1","1","1","NA","2","NA","NA","NA","NA","NA","NA",156,79,79
"2006","AT",1651,484.955752212389,"3",1950,"2","1","3","4","11","2","NA","NA","NA","NA","NA","NA",165,55,55
"2006","AT",1671,484.955752212389,"3",1925,"2","1","4","1","11","NA","NA","NA","NA","NA","NA","10",167,80,80
"2006","AT",1891,484.955752212389,"1",1929,"1","1","4","1","11","2","NA","NA","0","NA","NA","NA",189,76,77
"2006","AT",1911,484.955752212389,"3",1929,"1","1","2","1","11","2","NA","28","NA","NA","NA","NA",191,76,76
"2006","AT",2001,484.955752212389,"2",1978,"2","1","1","1","11","2","NA","NA","NA","NA","NA","NA",200,27,28
"2006","AT",2111,484.955752212389,"3",1925,"2","1","3","4","11","5","NA","NA","NA","NA","NA","NA",211,80,80
"2006","AT",2271,484.955752212389,"3",1926,"2","1","1","1","NA","2","NA","NA","NA","NA","NA","NA",227,79,80
"2006","AT",2591,484.955752212389,"4",1926,"2","1","3","1","11","2","NA","NA","NA","NA","NA","3",259,79,79
"2006","AT",2681,484.955752212389,"3",1952,"2","1","4","1","11","2","NA","NA","0","NA","4","NA",268,53,53
"2006","AT",2691,484.955752212389,"3",1965,"1","1","1","1","11","2","NA","NA","NA","NA","NA","NA",269,40,40
"2006","AT",2761,484.955752212389,"4",1925,"2","1","1","1","11","2","NA","NA","NA","NA","NA","NA",276,80,80
"2006","AT",2931,484.955752212389,"3",1936,"2","1","4","1","11","NA","NA","NA","NA","NA","NA","NA",293,69,69
"2006","AT",3011,484.955752212389,"2",1934,"1","1","4","1","11","NA","NA","25","0","NA","NA","NA",301,71,72
"2006","AT",3111,484.955752212389,"2",1978,"2","1","4","1","11","2","NA","NA","NA","NA","NA","NA",311,27,28
"2006","AT",3361,484.955752212389,"4",1925,"2","1","1","1","NA","2","20","NA","NA","NA","NA","0",336,80,80
