"DB010","DB020","DB030","DB040","DB062","DB090"
"2007","AT",6,"AT11","NA","533.0622"
"2007","AT",10,"AT11","NA","417.1815"
"2007","AT",31,"AT11","NA","313.3532"
"2007","AT",55,"AT11","NA","675.7301"
"2007","AT",60,"AT11","NA","899.2294"
"2007","AT",83,"AT11","NA","886.1684"
"2007","AT",109,"AT11","NA","512.6445"
"2007","AT",135,"AT11","NA","407.4163"
"2007","AT",142,"AT11","NA","569.812"
"2007","AT",157,"AT11","NA","736.6594"
"2007","AT",166,"AT11","NA","412.0248"
"2007","AT",168,"AT11","NA","599.5871"
"2007","AT",191,"AT11","NA","405.3266"
"2007","AT",192,"AT11","NA","467.7501"
"2007","AT",201,"AT11","NA","406.6596"
"2007","AT",212,"AT11","NA","539.8874"
"2007","AT",228,"AT11","NA","258.683"
"2007","AT",260,"AT11","NA","116.4247"
"2007","AT",269,"AT11","NA","867.9428"
"2007","AT",270,"AT11","NA","850.1874"
"2007","AT",271,"AT11","NA","862.5905"
"2007","AT",278,"AT11","NA","224.0506"
"2007","AT",295,"AT11","NA","302.0648"
"2007","AT",303,"AT11","NA","711.5163"
"2007","AT",313,"AT11","NA","990.0222"
"2007","AT",326,"AT11","NA","388.3496"
"2007","AT",338,"AT11","NA","723.4484"
"2007","AT",339,"AT11","NA","835.3856"
"2007","AT",341,"AT11","NA","461.7694"
"2007","AT",376,"AT11","NA","410.8316"
"2007","AT",382,"AT11","NA","536.7894"
"2007","AT",383,"AT11","NA","318.8928"
"2007","AT",385,"AT11","NA","591.5122"
"2007","AT",388,"AT11","NA","399.3842"
"2007","AT",394,"AT11","NA","352.5546"
"2007","AT",395,"AT11","NA","736.6594"
"2007","AT",416,"AT11","NA","487.9119"
"2007","AT",417,"AT11","NA","242.1789"
"2007","AT",430,"AT11","NA","2466.577"
"2007","AT",439,"AT11","NA","503.5497"
"2007","AT",453,"AT11","NA","855.8347"
"2007","AT",455,"AT11","NA","769.3721"
"2007","AT",464,"AT11","NA","357.3115"
"2007","AT",479,"AT11","NA","516.4502"
"2007","AT",483,"AT11","NA","769.1683"
"2007","AT",494,"AT11","NA","767.1643"
"2007","AT",516,"AT11","NA","478.3052"
"2007","AT",517,"AT11","NA","727.3962"
"2007","AT",542,"AT11","NA","315.0038"
"2007","AT",543,"AT11","NA","468.2849"
"2007","AT",554,"AT11","NA","514.4144"
"2007","AT",559,"AT11","NA","793.9221"
"2007","AT",566,"AT11","NA","591.6835"
"2007","AT",567,"AT11","NA","413.0602"
"2007","AT",569,"AT11","NA","522.1337"
"2007","AT",572,"AT11","NA","449.4931"
"2007","AT",586,"AT11","NA","467.8973"
"2007","AT",594,"AT11","NA","769.0349"
"2007","AT",600,"AT11","NA","331.0753"
"2007","AT",604,"AT11","NA","315.8079"
"2007","AT",613,"AT11","NA","646.8754"
"2007","AT",617,"AT11","NA","409.6348"
"2007","AT",623,"AT11","NA","724.1147"
"2007","AT",629,"AT11","NA","724.5634"
"2007","AT",653,"AT11","NA","1302.712"
"2007","AT",655,"AT11","NA","1094.381"
"2007","AT",683,"AT11","NA","971.8692"
"2007","AT",685,"AT11","NA","289.7392"
"2007","AT",686,"AT11","NA","359.8875"
"2007","AT",709,"AT11","NA","581.6532"
"2007","AT",714,"AT11","NA","520.4931"
"2007","AT",717,"AT11","NA","359.7248"
"2007","AT",719,"AT11","NA","1221.401"
"2007","AT",726,"AT11","NA","661.2235"
"2007","AT",734,"AT11","NA","1866.138"
"2007","AT",749,"AT11","NA","377.4477"
"2007","AT",751,"AT11","NA","487.8219"
"2007","AT",758,"AT11","NA","337.547"
"2007","AT",759,"AT11","NA","1227.224"
"2007","AT",760,"AT11","NA","454.7855"
"2007","AT",762,"AT11","NA","689.998"
"2007","AT",763,"AT11","NA","779.1863"
"2007","AT",778,"AT11","NA","1857.4"
"2007","AT",790,"AT11","NA","458.446"
"2007","AT",818,"AT11","NA","530.408"
"2007","AT",823,"AT11","NA","700.0488"
"2007","AT",825,"AT11","NA","546.0236"
"2007","AT",832,"AT11","NA","508.7129"
"2007","AT",834,"AT11","NA","445.2797"
"2007","AT",836,"AT11","NA","455.7455"
"2007","AT",844,"AT11","NA","520.5688"
"2007","AT",860,"AT11","NA","271.3539"
"2007","AT",862,"AT11","NA","512.4697"
"2007","AT",864,"AT11","NA","1076.618"
"2007","AT",867,"AT11","NA","1095.225"
"2007","AT",877,"AT11","NA","612.9306"
"2007","AT",921,"AT11","NA","579.8425"
"2007","AT",924,"AT11","NA","353.3134"
"2007","AT",928,"AT11","NA","343.2351"
"2007","AT",929,"AT11","NA","839.8687"
"2007","AT",931,"AT11","NA","348.096"
"2007","AT",934,"AT11","NA","382.4494"
"2007","AT",935,"AT11","NA","389.3993"
"2007","AT",937,"AT11","NA","369.7414"
"2007","AT",942,"AT11","NA","550.4268"
"2007","AT",954,"AT11","NA","288.1018"
"2007","AT",964,"AT11","NA","747.1052"
"2007","AT",965,"AT11","NA","497.509"
"2007","AT",966,"AT11","NA","1168.861"
"2007","AT",973,"AT11","NA","582.8369"
"2007","AT",974,"AT11","NA","306.2962"
"2007","AT",983,"AT11","NA","381.7711"
"2007","AT",987,"AT11","NA","358.263"
"2007","AT",992,"AT11","NA","542.316"
"2007","AT",995,"AT11","NA","334.993"
"2007","AT",997,"AT11","NA","568.0593"
"2007","AT",1030,"AT11","NA","595.0956"
"2007","AT",1033,"AT11","NA","405.5386"
"2007","AT",1034,"AT11","NA","665.9492"
"2007","AT",1035,"AT11","NA","850.9995"
"2007","AT",1039,"AT11","NA","300.5076"
"2007","AT",1046,"AT11","NA","874.7609"
"2007","AT",1070,"AT11","NA","510.6627"
"2007","AT",1095,"AT11","NA","530.8527"
"2007","AT",1096,"AT11","NA","496.76"
"2007","AT",1134,"AT11","NA","4000.131"
"2007","AT",1138,"AT11","NA","801.3838"
"2007","AT",1151,"AT11","NA","475.9914"
"2007","AT",1158,"AT11","NA","533.0664"
"2007","AT",1159,"AT11","NA","312.6101"
"2007","AT",1168,"AT11","NA","325.7496"
"2007","AT",1186,"AT11","NA","480.6669"
"2007","AT",1196,"AT11","NA","454.3017"
"2007","AT",1220,"AT11","NA","427.3478"
"2007","AT",1239,"AT11","NA","468.5572"
"2007","AT",1248,"AT11","NA","588.6382"
"2007","AT",1295,"AT11","NA","673.7316"
"2007","AT",1316,"AT11","NA","500.5902"
"2007","AT",1320,"AT11","NA","912.8881"
"2007","AT",1327,"AT11","NA","853.1544"
"2007","AT",1334,"AT11","NA","668.548"
"2007","AT",1341,"AT11","NA","586.6781"
"2007","AT",1343,"AT11","NA","559.6797"
"2007","AT",1354,"AT11","NA","454.3477"
"2007","AT",1361,"AT11","NA","514.8176"
"2007","AT",1369,"AT11","NA","621.1771"
"2007","AT",1372,"AT11","NA","534.9871"
"2007","AT",1376,"AT11","NA","485.8417"
"2007","AT",1380,"AT11","NA","533.1368"
"2007","AT",1383,"AT11","NA","2322.778"
"2007","AT",1400,"AT11","NA","485.9165"
"2007","AT",1408,"AT11","NA","297.7464"
"2007","AT",1420,"AT11","NA","535.4914"
"2007","AT",1421,"AT11","NA","685.2168"
"2007","AT",1429,"AT11","NA","467.5291"
"2007","AT",1448,"AT11","NA","1198.783"
"2007","AT",1468,"AT11","NA","1014.637"
"2007","AT",1472,"AT11","NA","408.2156"
"2007","AT",1487,"AT11","NA","474.4314"
"2007","AT",1491,"AT11","NA","677.5239"
"2007","AT",1496,"AT11","NA","582.8265"
"2007","AT",1497,"AT11","NA","481.0738"
"2007","AT",1500,"AT11","NA","863.8459"
"2007","AT",1505,"AT11","NA","757.3685"
"2007","AT",1511,"AT11","NA","527.4704"
"2007","AT",1512,"AT11","NA","485.9165"
"2007","AT",1513,"AT11","NA","498.5155"
"2007","AT",1519,"AT11","NA","747.4419"
"2007","AT",1526,"AT11","NA","670.2291"
"2007","AT",1530,"AT11","NA","389.7844"
"2007","AT",1531,"AT11","NA","777.6269"
"2007","AT",1548,"AT11","NA","450.4135"
"2007","AT",1565,"AT11","NA","502.1967"
"2007","AT",1578,"AT11","NA","275.0335"
"2007","AT",1589,"AT11","NA","410.9959"
"2007","AT",1591,"AT11","NA","829.6302"
"2007","AT",1594,"AT11","NA","422.4742"
"2007","AT",1596,"AT11","NA","3205.683"
"2007","AT",1602,"AT11","NA","1594.32"
"2007","AT",1609,"AT11","NA","724.9982"
"2007","AT",1622,"AT11","NA","650.7501"
"2007","AT",1634,"AT11","NA","589.6979"
"2007","AT",1636,"AT11","NA","587.3555"
"2007","AT",1647,"AT11","NA","319.7075"
"2007","AT",1659,"AT11","NA","596.579"
"2007","AT",1660,"AT11","NA","591.7082"
"2007","AT",1688,"AT11","NA","806.8294"
"2007","AT",1689,"AT11","NA","379.7804"
"2007","AT",1725,"AT11","NA","501.2033"
"2007","AT",1741,"AT11","NA","606.4122"
"2007","AT",1745,"AT11","NA","422.4742"
"2007","AT",1759,"AT11","NA","560.4115"
"2007","AT",1762,"AT11","NA","429.8737"
"2007","AT",1763,"AT11","NA","673.7316"
"2007","AT",1765,"AT11","NA","652.7685"
"2007","AT",1770,"AT11","NA","306.5611"
"2007","AT",1782,"AT11","NA","629.001"
"2007","AT",1805,"AT11","NA","919.9417"
"2007","AT",1817,"AT11","NA","292.5345"
