"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RL010","RL020","RL030","RL040","RL050","RL060"
"2012","AT",29301,549.884615384615,"12",1972,"1","1","3",,"11","2",,,,"0","0",
"2012","AT",52101,549.884615384615,"7",1931,"2","1","1",,"11","2",,,,,,
"2012","AT",168201,549.884615384615,"4",1952,"1","1","3",,"11",,,,,,,
"2012","AT",296001,549.884615384615,"9",1947,"2","1","4",,"11","5",,,,,,
"2012","AT",315201,549.884615384615,"12",1958,"1","1","1",,"11","2",,,"0",,,
"2012","AT",339301,549.884615384615,"10",1943,"2","1","2",,"11",,,,,,,"10"
"2012","AT",435801,549.884615384615,"12",1952,"1","1","1",,"11","5",,,,,,
"2012","AT",574201,549.884615384615,"8",1975,"2","1","1",,"11","2",,,,,,
"2012","AT",751201,549.884615384615,"6",1948,"2","1","1",,,"2",,,,,,
"2012","AT",805401,549.884615384615,"7",1964,"1","1","3",,"11","2","20",,"0",,,
"2012","AT",873501,549.884615384615,"11",1948,"2","1","3",,"11","3",,,,,,"0"
"2012","AT",912901,549.884615384615,"7",1964,"1","1","1",,"11","2",,,,,,
"2012","AT",917901,549.884615384615,"7",1977,"1","1","1",,"11","3",,,,"0",,
"2012","AT",1005801,549.884615384615,"4",1931,"2","1","4",,"11","3",,,,"0",,"0"
"2012","AT",1056801,549.884615384615,"10",1964,"1","1","4",,"11","2",,,"0",,,
"2012","AT",1078901,549.884615384615,"3",1943,"2","1","1",,,"5",,"20",,,,
"2012","AT",1108101,549.884615384615,"7",1976,"1","1","1",,"11","2",,,,,,
"2012","AT",1244501,549.884615384615,"5",1961,"1","1","1",,"11","3",,,,,,
"2012","AT",1455201,549.884615384615,"3",1933,"1","1","4",,"11","2",,,,,,
"2012","AT",1465301,549.884615384615,"10",1931,"1","1","4",,"11",,,,,,,
"2012","AT",1508201,549.884615384615,"10",1952,"1","1","1",,"11",,,,,,,
"2012","AT",1514501,549.884615384615,"6",1931,"1","1","3",,,,,,"15",,"0",
"2012","AT",1574001,549.884615384615,"11",1931,"1","1","4",,"11","5",,"0",,,,
"2012","AT",1726301,549.884615384615,"6",1931,"2","1","3",,"11","3",,,,,,
"2012","AT",1788001,549.884615384615,"4",1950,"1","1","3",,"11","3",,,,,,
"2012","AT",1837801,549.884615384615,"6",1954,"1","1","4",,"11","2",,,,,,
"2012","AT",1880301,549.884615384615,"11",1960,"2","1","1",,"11","2",,"25",,,,
"2012","AT",1998001,549.884615384615,"2",1956,"1","1","1",,,"5","20",,,,,
"2012","AT",2094701,549.884615384615,"2",1958,"1","1","1",,"11","5",,,,,,
"2012","AT",2109801,549.884615384615,"5",1946,"1","1","1",,"11","2",,,,,,
"2012","AT",2126201,549.884615384615,"6",1939,"2","1","4",,,"2",,"25",,,,
"2012","AT",2174001,549.884615384615,"5",1959,"2","1","1",,,"3",,,,,"0",
"2012","AT",2242301,549.884615384615,"1",1964,"1","1","4",,"11","3",,,"0","0",,
"2012","AT",2307501,549.884615384615,"3",1958,"1","1","1",,"11","2",,"30",,,"0",
